d1500,w80,m200,s300,p3,-279,-228,-589,312,17,46,222,66,-151,335,-112,-583,131,470,407,48,24,240,21,165,-40,137,-66,-40,106,662,533,-25,183,478,229,185,25,95,178,-201,-184,-200,-132,-88,262,95,-194,264,41,-125,-202,-44,595,-74,217,-91,78,57,239,-46,151,0,40,298,-75,307,945,430,487,1654,111,365,485,271,514,73,291,79,336,314,136,110,352,298,53,129,166,221,-34,65,1852,-255,-19,25,-431,71,232,592,381,-173,-62,194,89,-29,384,176,501,251,378,514,81,-150,-22,193,39,-185,0,-152,-496,-49,-202,-106,-61,39
d1500,w80,m250,s150,p3,-344,-19,30,-187,-360,207,26,349,399,24,200,345,221,290,314,1387,226,-308,-376,-118,-83,285,-95,-17,168,406,500,149,106,305,308,90,-254,210,-14,-220,-17,-89,214,-56,34,250,123,282,349,181,238,49,208,269,438,213,125,606,582,108,224,-136,-24,-360,200,7,-89,106,211,189,0,243,200,61,109,256,-49,140,252,-210,250,188,214,160,198,-245,-33,-385,83,0,-104,-282,120,274,265,329,169,549,15,227,-119,175,275,-52,-59,71,-551,103,174,268,-90,13,344,-65,-190,106,213,-21,17,152,-145,363,219,85
d1500,w80,m100,s300,p3,728,634,380,386,422,196,582,472,-279,242,759,698,266,467,747,561,584,604,581,631,598,598,669,309,-31,56,-415,369,508,675,33,255,-549,-1089,498,439,701,221,-817,-364,556,154,435,557,508,-364,72,-84,290,736,682,652,548,775,834,-262,72,396,884,666,857,753,-120,-562,-1831,643,824,622,742,452,634,629,717,-40,741,840,757,613,2273,495,570,615,666,490,277,544,528,414,1645,310,-2082,-1799,582,292,740,772,737,654,927,533,413,924,549,626,752,64,428,-418,-475,422,287,45,553,409,468,641,395,-74,791,783
d1500,w80,m0,s150,p3,-2718,-344,-1093,-356,132,693,1246,850,1008,56,-153,1052,-152,-299,1379,-396,-91,491,61,-54,407,-150,15,952,1273,-478,-682,-463,448,629,264,-150,1339,711,-894,-986,691,796,1090,-442,329,-228,-625,-621,541,267,357,182,668,-339,-146,832,1364,173,-558,-906,-1612,-52,1668,1017,856,-778,-783,63,-111,181,1483,534,15,-946,-125,489,-313,-49,-864,152,-1404,846,320,277,-90,512,192,1030,1378,977,-1537,1580,-449,-901,-644,215,158,218,238,175,-89,-286,-1868,-551,263,-10,528,167,80,-857,-986,-1056,828,1322,-255,1281,1679,473,-1026,-1464,513,378,836,635
d1500,w80,m250,s300,p3,-656,-561,196,288,311,444,309,277,88,449,1429,-202,-333,10,406,578,124,386,-9,341,509,443,26,-235,-260,-72,292,369,453,653,383,613,291,439,210,430,898,330,133,829,211,90,277,177,201,367,697,220,486,445,475,547,132,476,430,301,-35,463,264,367,486,385,282,250,373,640,357,295,295,274,266,349,541,511,307,461,-160,217,-90,-166,626,-399,-54,-188,139,68,384,-296,193,248,56,-9,-226,307,284,1916,-189,58,327,303,588,421,502,399,319,159,241,694,8,116,356,553,282,292,388,96,576,-34,-1250,187
d1500,w80,m200,s150,p3,82,10,366,634,419,402,164,297,164,744,271,425,706,525,654,842,1530,214,145,180,591,270,-165,160,301,291,167,194,576,-45,79,328,376,310,389,396,237,27,516,-112,-93,481,106,341,290,231,476,-145,-84,140,25,216,196,368,721,353,1516,122,223,244,514,262,316,502,485,597,96,-104,210,889,122,176,24,244,102,589,157,355,116,803,-318,-72,262,278,480,517,788,737,418,368,877,190,338,617,464,275,662,623,569,1277,-234,225,363,182,305,182,501,274,287,99,189,434,171,484,1069,-134,192,285,523,156
d1500,w80,m50,s150,p3,1068,-1993,-527,1078,854,379,1100,1141,1231,1027,521,-798,933,1174,971,-62,-333,1122,1316,1149,1045,932,-851,1239,413,906,839,1097,-82,-610,917,570,1015,-94,176,97,-13,-868,-120,767,884,1157,923,277,-130,-682,-694,1036,1049,-211,-683,539,234,571,651,-384,899,52,105,659,399,140,-418,-1042,56,-58,782,1146,959,314,-170,-398,-89,-300,1030,668,562,233,-171,-256,587,688,1130,1172,799,-686,1325,844,721,770,1056,932,497,278,785,-76,115,1116,939,332,468,-33,571,283,1115,583,-1091,-1142,727,-257,321,483,-445,336,880,412,1148,1072,-389,114
d1500,w80,m0,s300,p3,1491,-370,-1221,-1330,703,156,1222,603,-298,632,1256,272,-484,-248,1386,1674,1594,1453,864,-1061,-1314,-646,-472,1134,274,-291,385,582,1135,464,-165,-512,19,321,1465,932,195,303,833,-1008,513,1175,1256,1113,-615,-583,148,567,516,602,1191,1631,1644,1510,239,1127,186,-83,-1484,-820,-874,1224,1386,1365,108,-640,-662,200,1187,-187,-1302,-1223,-204,-112,269,293,641,1349,1384,-242,-912,-275,589,330,402,-57,192,232,816,164,-15,-1266,-222,768,373,-968,726,1202,299,149,601,669,-1416,1413,-152,-275,652,1513,498,168,-797,-505,1558,1040,-292,-1717,63,-570,124,744
d1500,w80,m150,s150,p3,-88,-13,411,420,342,286,386,264,366,530,209,197,427,427,195,424,473,1759,142,242,321,360,428,356,147,374,240,588,392,445,381,259,151,217,295,167,252,485,395,1455,65,92,188,121,316,19,122,683,27,29,154,160,534,328,-9,8,447,221,221,365,371,725,371,392,875,303,405,339,306,491,309,326,437,346,395,306,834,416,1841,158,261,462,503,344,372,220,588,313,389,223,-908,248,610,538,541,330,481,649,168,460,462,498,220,422,180,-582,343,343,437,446,388,480,352,501,523,321,220,1807,96,439
d1500,w80,m150,s300,p3,112,325,160,146,308,262,165,153,131,64,200,345,403,-38,-58,98,325,236,240,-580,284,301,481,283,305,212,-577,397,1984,213,189,-71,-1369,444,273,212,381,308,164,263,244,312,213,451,301,169,267,466,117,464,160,339,90,184,1874,188,-37,259,59,563,301,133,-559,114,384,196,227,-145,511,427,479,463,78,10,336,255,254,9,90,30,226,-18,194,118,129,275,46,228,197,20,484,195,64,209,250,-41,-1042,254,216,209,327,356,439,356,332,149,319,338,215,405,227,122,180,305,283,-726,144,618,419,274
d1500,w80,m100,s150,p3,1298,-429,1035,-54,593,607,637,609,450,710,276,661,295,621,523,749,511,674,-115,395,705,-183,596,618,728,488,783,859,377,627,1767,521,401,-340,-276,538,625,702,705,627,699,675,285,284,269,730,108,663,735,453,575,518,465,661,837,621,439,516,864,852,693,515,-695,677,478,528,459,600,681,693,-96,446,574,659,672,617,622,522,-1670,-649,341,-329,747,635,625,507,635,443,-367,562,175,736,255,-226,715,642,783,655,942,380,538,709,689,920,734,836,545,701,176,514,1199,606,579,717,512,710,623,515,609,507
d1500,w80,m50,s300,p3,-1516,1145,-538,-438,1082,735,174,841,1035,1105,187,1018,418,-381,658,1027,911,-223,400,-54,1007,998,1243,272,-1064,-87,1033,1071,461,-78,-302,421,-36,595,466,237,889,1114,-336,-750,1171,604,833,674,733,811,1042,957,-185,957,320,-108,916,1163,939,928,778,569,881,1219,1062,-650,-735,738,388,405,661,942,537,249,936,889,523,-614,951,960,852,-626,841,106,-766,953,291,-1215,-596,727,597,839,944,1059,-218,0,1145,347,406,975,1058,52,-58,1080,1114,988,55,1178,924,-1298,1002,1088,825,-213,1354,917,410,-305,736,1093,977,366,-275,1007
