d1500,w80,m150,s300,p3,424,-136,319,191,126,181,311,517,664,226,124,11,126,78,380,127,159,-484,172,109,-248,427,741,326,145,-110,422,296,466,520,438,317,319,143,333,145,-16,-12,249,193,328,144,475,321,109,94,296,364,470,443,104,150,198,592,28,123,344,46,195,268,56,231,250,241,171,169,678,206,150,358,21,-258,423,392,324,170,147,344,358,159,-46,16,371,35,196,304,273,332,268,288,447,352,179,508,338,316,367,272,300,447,524,133,323,612,7,394,43,89,181,144,396,-44,388,321,235,457,329,220,345,543
d1500,w80,m150,s150,p3,1055,111,116,216,167,419,224,447,265,343,433,297,340,616,295,210,253,324,92,0,-107,592,387,183,176,195,309,176,449,369,436,291,65,132,39,105,336,-75,457,533,96,474,-332,415,960,329,391,259,746,327,478,304,339,301,749,188,417,292,489,239,473,364,86,167,286,894,-43,321,155,355,402,395,296,403,393,98,66,717,336,728,439,206,339,448,392,459,231,90,409,494,403,414,0,145,274,546,245,213,383,186,480,158,397,349,152,210,386,151,83,185,262,8,255,67,210,211,259,375,21,273
d1500,w80,m100,s150,p3,764,471,411,295,534,-197,424,454,423,263,-639,60,80,571,160,-893,425,547,737,508,425,606,513,290,575,522,621,474,148,153,631,-192,128,488,531,159,478,656,463,610,630,523,555,537,499,121,583,194,475,672,548,338,460,630,578,466,747,612,799,512,587,365,195,604,-493,300,812,330,294,348,497,276,462,187,531,579,454,588,360,-108,579,519,906,-497,518,685,-415,672,571,708,-614,368,412,401,581,32,472,109,577,411,181,558,286,683,509,577,397,430,720,-11,708,768,561,411,614,304,618,756,613,573
d1500,w80,m50,s300,p3,-294,211,325,972,935,-267,-305,404,354,163,206,829,-285,107,621,560,147,218,-81,830,812,778,-177,704,-904,-814,-338,780,57,439,388,587,615,889,737,890,1033,-265,131,816,898,257,-424,794,151,254,1074,-40,991,373,235,521,174,968,280,257,86,847,-153,54,-300,838,-954,-541,793,219,-163,-60,971,1015,43,-1229,601,-223,732,-848,394,205,215,978,-140,1013,-284,725,364,160,-183,812,347,-593,190,-231,1091,900,125,137,867,308,713,-445,0,552,812,140,125,780,492,973,793,218,363,817,966,523,725,742,987,79,258,937
d1500,w80,m250,s300,p3,233,122,84,137,252,204,304,209,201,-136,141,-170,-13,407,475,308,344,57,9,310,295,9,364,232,125,189,163,286,316,670,53,27,28,-344,8,-32,-150,219,299,368,597,453,323,370,466,127,457,181,151,68,356,701,225,182,381,172,302,381,527,420,221,-172,-69,322,128,135,337,687,408,438,538,516,676,438,591,141,597,-31,249,523,290,668,116,552,547,0,326,198,558,648,316,91,151,576,441,477,43,22,278,425,294,288,429,86,416,238,105,521,-97,540,60,100,254,396,395,315,608,181,584,127
d1500,w80,m0,s300,p3,-1043,-668,512,811,1241,37,-874,418,1036,276,552,130,206,-127,-545,-259,346,-118,1161,386,-199,-1004,17,281,1239,1275,-147,-1693,-2125,-1224,812,-502,914,555,-417,-211,193,-927,154,192,1064,220,225,-64,-209,-264,374,491,510,811,-77,-162,125,-741,343,-315,637,-258,-540,-547,187,-728,-1120,-396,831,78,710,397,1264,399,483,1450,1084,978,-112,224,322,-89,265,445,1038,142,58,1039,1001,330,-486,-492,181,96,1410,1208,733,45,93,1575,957,1234,-1184,-856,-17,-483,-653,-255,299,-269,99,-586,-830,144,-346,-351,617,-248,271,-98,590,1122,754,201
d1500,w80,m0,s150,p3,383,-913,-1000,16,243,125,362,897,-257,93,-587,-698,-414,424,-941,-974,394,-384,-337,322,696,223,844,120,-185,-606,558,-497,-197,785,-713,-903,-378,91,-848,-587,-66,405,-122,140,-396,-10,-99,603,71,1399,1058,1191,680,-201,-655,29,252,584,767,799,1082,-1565,-693,758,800,1110,1367,465,-287,736,-92,1414,266,-527,-485,359,-645,-349,1223,-360,552,-132,-456,-562,1057,423,-794,132,19,1096,1606,1320,382,1335,638,586,338,1043,1738,1485,-1151,-481,610,217,-142,60,1224,1039,-19,-699,29,1464,1447,464,-711,486,-130,658,949,1519,1613,-1304,-1846,-254
d1500,w80,m200,s300,p3,262,353,104,235,182,302,-46,355,262,-15,330,0,115,294,188,434,272,229,134,197,-15,259,434,103,-77,116,390,-12,651,367,360,-75,428,472,176,457,203,469,224,190,229,709,8,555,934,-184,36,-40,385,-181,235,244,565,290,365,505,59,393,117,344,266,375,502,165,268,310,84,187,688,530,434,-13,444,515,579,371,343,444,492,356,345,511,404,555,205,-68,263,277,629,564,418,563,87,402,904,655,390,27,496,204,447,527,331,502,314,312,174,480,613,304,761,304,518,836,537,-20,-78,150,-181,-16
d1500,w80,m100,s300,p3,628,503,464,664,354,463,428,634,258,-210,311,531,574,550,462,594,-405,238,592,487,-568,8,467,158,529,618,284,346,376,164,540,600,245,595,673,-218,625,605,837,-330,392,274,515,169,363,581,664,372,1096,528,198,540,653,544,-156,533,637,1041,572,458,617,501,339,482,584,682,321,652,526,439,492,274,-78,565,531,251,172,-54,309,-262,562,451,-112,714,491,644,2002,257,-687,-67,553,515,221,269,665,506,-209,421,476,730,767,1100,366,265,-403,642,533,637,547,28,-485,-1036,59,237,737,742,1279,192,233,444
d1500,w80,m250,s150,p3,454,623,257,-83,346,286,495,32,313,242,663,619,222,163,247,143,443,-318,415,255,192,261,166,-44,213,-115,324,289,462,549,506,265,467,444,149,491,237,432,113,353,714,458,1217,-793,120,333,457,428,406,104,195,368,320,189,371,372,451,506,1084,692,186,662,652,451,257,166,-11,247,148,309,378,479,385,384,38,285,596,378,-84,340,671,829,-156,232,512,279,311,223,375,168,209,-131,344,381,379,456,445,-127,320,448,2313,229,103,404,288,315,259,734,730,292,1277,496,119,316,66,515,8,677,-348,46
d1500,w80,m50,s150,p3,1026,795,-2006,702,-567,-627,853,665,-11,803,-49,0,-700,-638,237,772,184,760,-252,-426,393,270,632,-278,402,829,246,-439,166,981,995,648,-213,147,648,68,885,-369,567,479,803,320,501,309,-220,168,702,959,239,1068,899,356,51,793,181,199,836,754,-346,269,1628,760,901,663,-864,-753,-482,713,-75,-345,266,497,-102,40,-351,533,1006,-145,423,541,980,489,361,155,838,677,-475,-310,540,533,598,721,985,845,702,-417,57,201,998,741,410,453,613,-255,-37,891,651,999,59,830,124,23,337,-179,717,596,406,360,345,300
d1500,w80,m200,s150,p3,564,-51,342,280,307,130,-188,320,290,223,381,298,-204,271,76,349,-358,304,306,210,282,223,-81,143,-117,372,-117,341,204,393,436,565,541,489,173,113,154,279,361,304,481,270,551,652,203,-45,198,371,636,595,487,603,484,268,425,353,110,119,75,397,263,84,233,211,26,-239,477,326,219,179,224,327,588,154,318,171,159,326,396,124,231,498,265,549,80,844,89,414,362,95,288,440,393,258,378,297,504,426,121,8,345,345,67,382,149,55,234,502,269,438,371,257,-22,79,22,192,200,304,447,34
